text,id
change the pin on my savings account to 1234,test-943
what do i need to do to cook a chicken,test-944
give me tips on improving my credit score,test-945
why was my card not working at target,test-946
is there a way to order checkbooks for a chase account,test-947
any update on my vacation,test-948
how many stars does brasserie les halles have,test-949
can you make 1234 the pin for my savings account,test-950
i need to set a reminder to call lisa for her birthday,test-951
i need to know where the hospital closest to me is,test-952
can you let me know the status of my discover credit card application status,test-953
text emily,test-954
can you tell me the tire pressure for the car,test-955
the tv turn it on,test-956
i wish to apply for a visa card,test-957
how should i address you,test-958
what is the location that td bank has their routing number listed,test-959
let me know how to rollover my 401k,test-960
can you tell me how to set up direct deposit,test-961
i want you to text mark,test-962
where were you processed,test-963
how does measurement slugs convert to measurement lb,test-964
"what's the month, year, and day that my card expires",test-965
i'm struggling to remind myself the pin number to my card,test-966
let me know if my application for american saving bank,test-967
pull up the songs under slow,test-968
i gotta jump start my car,test-969
i need to know britain's timezone,test-970
remove wrestlemania from my calendar for may 7th,test-971
what's the food can easily get in canada,test-972
put the dishes on my list of things to do,test-973
how much is the car bill this month,test-974
find the nutrition info for cucumbers for me,test-975
a table for two needs to be reserved for 7:00pm at olive garden using the name michael,test-976
what've i spent on gas this month,test-977
it was very good to talk to you,test-978
i would like to change the name on my checking account,test-979
"""when the credit score improve",test-980
refer to me as bailey,test-981
i'd like to know what bitcoin means,test-982
could you be human,test-983
how do i set up a direct deposit for my paycheck,test-984
who is it that you work for,test-985
can you tell me the meaning of fluctuate,test-986
i need a reminder to take dinner out of the oven,test-987
i'm unable to use my card because it's been ruined,test-988
what type of fuel does this car utilize,test-989
what's the mileage to get the the taj mahal in atlantic city,test-990
i'm going to start calling you joe,test-991
place an order for my entire shopping list,test-992
"cancel my reservation for dinner tonight, please",test-993
can i apply for a visa card,test-994
"flip a coin, i'm heads",test-995
when can i expect meal of salmon to be finished,test-996
is there any consensun regarding lifes true meaning,test-997
verify my reservation for smith and wollensky at 6:45,test-998
i want a hotel in phoenix near chase field from january 4th to the 8th,test-999
book a flight to los angeles from las vegas on american airlines,test-1000
is the breakfast place full in the mornings,test-1001
give me an exact date of when i took my car to the mechanic,test-1002
how full is my gas tank,test-1003
"ai you have given me so much information, thank you",test-1004
place my order alexa,test-1005
find a place near me to have my tires inspected,test-1006
i wanna find a hotel with good reviews in phoenix,test-1007
note any travel alerts for haiti,test-1008
i need gas what type do i need for this car,test-1009
stop processing,test-1010
please set up a reminder for me,test-1011
tell fred that i don't have his guitar,test-1012
how is it possible to get a better credit score,test-1013
what is some trivia question about coffee,test-1014
my credit score stinks but i don't know how to improve it,test-1015
what is my card's apr rate,test-1016
one and three pm are there meeting rooms open,test-1017
the male voice please,test-1018
how can i get my credit limit to be increased to $1000,test-1019
are there any required shots in indonesia,test-1020
i need to use my credit points,test-1021
"what must i pay, at a minimum, on my verizon bill",test-1022
does sweden use the same kind of socket or do i need a converter,test-1023
what am i gonna need for sushi,test-1024
what is the day off request status if you could tell me,test-1025
purchase grass seed from the store,test-1026
diy oil change,test-1027
number of calories in coke,test-1028
a hidden government facility,test-1029
tell me my water bill please,test-1030
i was wondering what my credit score is,test-1031
i'm not completely certain,test-1032
do you have any information on how to open a new credit card,test-1033
what do i need to make brownies,test-1034
block my american saving bank for now,test-1035
please clear my calendar,test-1036
how do i get started making homemade pizza dough,test-1037
get me a flight from barcelona to paris from jet blue,test-1038
wake me up with an alarm at 6am,test-1039
could i get some more checkbooks sent to me,test-1040
when is my meeting with jim scheduled for,test-1041
what is the carry-on policy for flights on panam,test-1042
do they serve good tacos at the buffet,test-1043
remove fencing from my calendar for may 7th,test-1044
i wanna know how long until the next day off,test-1045
what exactly is the tire pressure for the car,test-1046
my tires need how much more air in them,test-1047
tell me the current balance of my bank accounts,test-1048
go back to the default settings please,test-1049
what is the miles per gallon,test-1050
can you tell me when my item will get here,test-1051
how many points do i have to cash,test-1052
has my mastercard application gone through the process,test-1053
what is the time for a tire change,test-1054
play the song called wreckless love,test-1055
i want to rollover my 401k,test-1056
did i remember to put oatmeal on my list,test-1057
how long can i keep milk in the fridge,test-1058
please flip a coin for me ai,test-1059
how do i get help with a vacation itinerary,test-1060
"flip a coin, i call heads!",test-1061
what's your boss's name,test-1062
what's the phone number for my credit card company,test-1063
could you please reset your factory settings,test-1064
order my whole shopping list,test-1065
i want to a book a roundtrip flight from san antonio to dtw departing on friday and returning on wednesday,test-1066
i want to know my credit limit,test-1067
where do i go for my credit score,test-1068
what's the most i can charge on my card,test-1069
what is the best time to go to get a burger without a line,test-1070
what steps should i take if i think my car battery is dead,test-1071
i wanna book a place to stay in phoenix from the 5th to the 9th of march,test-1072
tell me what the time is in dallas,test-1073
what name do you go by,test-1074
how many teaspoons is one tablespoon,test-1075
who is responsible for your employment,test-1076
what do i make annually,test-1077
it could go either way,test-1078
i need to know your age,test-1079
do we know if my reservation for john at bardenay was accepted,test-1080
find out the next available date and time i can go to get my oil changed please,test-1081
i want to hear my name,test-1082
is there meaning in life,test-1083
how much do i earn a year,test-1084
who set up the numbers for it,test-1085
"help me plan my traveling itinerary for my trip to madrid, i want to see lots of sights!",test-1086
i need to call my dad,test-1087
can you confirm that i have a reservation for 2/20 at 6:00 pm,test-1088
i seem to have lost my luggage! what are my options now,test-1089
what meeting rooms are available for meeting 5pm friday,test-1090
freeze my account for me,test-1091
what is my state bank of india card credit limit,test-1092
volume 4 set,test-1093
is my request going to be approved for vacation,test-1094
what time is it in dallas,test-1095
should i apply for a visa if i am traveling to mexico,test-1096
i would like for you to unsync my phone,test-1097
what is the year to date total on my vacation days,test-1098
"yes, ai, that is correct",test-1099
does travelling to st petersburg require a travel visa,test-1100
am i talking to a real live person,test-1101
id like a room in jacksonville near the stadium between january 1st to 3rd,test-1102
i am not sure,test-1103
what's tomorrow's date,test-1104
i need options or italian tonight,test-1105
can we move onto the next song,test-1106
what ingredients do i use for pork belly,test-1107
cross off grocery shopping from todo list,test-1108
how much is my credit score,test-1109
whats the combined total of the money inside my bank accounts,test-1110
what company is responsible for this design,test-1111
i want this song on my pregame playlist,test-1112
what kind of music on the speaker now,test-1113
what am i paying in taxes,test-1114
make 1234 a new pin for my savings account,test-1115
how much of a credit limit does visa allow,test-1116
"can you cancel that, please",test-1117
which day is it now,test-1118
would you provide me with what the point of life is,test-1119
how long does it take to cook meal of tuscan,test-1120
can you see if paying garbage bill is on my todo list for this week,test-1121
when is the egg expired,test-1122
would you understand me if i speak to you in navajo,test-1123
that has to be false,test-1124
what is the gas mileage of my car,test-1125
"i need help spelling ""exquisite",test-1126
direct deposit,test-1127
i need to know what song this is that we're listening to,test-1128
is your voice from a human or is it synthesized,test-1129
i have to make a phone call,test-1130
can you roll a four sided die and tell me the result,test-1131
"alexa, connect to the phone now",test-1132
would tio's be crowded at 7,test-1133
what is the date of tomorrow,test-1134
"right now, i need to know the meaning of life",test-1135
what is the proper cooking time for this,test-1136
notify me how many days off i have used so far,test-1137
how long is the wait at fridays,test-1138
book me a flight from midway to jfk for less than 200 dollars,test-1139
i want to reserve table for 5 at red robin under the name sara at 5,test-1140
i need a hotel in phoenix near chase field from january 4th to the 8th,test-1141
where would the routing number for first utah be located,test-1142
how do i know when to get the tires changed on my car,test-1143
how can i contribute to my credit score,test-1144
ya,test-1145
would you be able to freeze my bank account,test-1146
how healthy is mcdonalds,test-1147
martins needs a table for 5 people at tropicana at 8pm precisely,test-1148
what day is our next day off,test-1149
if i use my discover card in cuba are there transaction fees,test-1150
what's the calorie content of french fries,test-1151
what do i need to make pasta,test-1152
this song i'm listening to would be great on my commute playlist,test-1153
please flip a coin for me,test-1154
give me my credit card expiration date,test-1155
tell me whether or not i have a reservation at gramercy tavern for tad,test-1156
please tell my bank i'll be in anchorage this week,test-1157
bye,test-1158
spell the word aaron,test-1159
go to whisper mode for one hour,test-1160
give me a fun fact about komodo dragon,test-1161
i want to know my reminders,test-1162
i am not in need of my reservation anymore,test-1163
divide 100 by 12,test-1164
how's my credit score,test-1165
any clue as to if taco bell takes reservations,test-1166
what are my reminders,test-1167
in 15 minutes the timer should go off,test-1168
roll five sided dice,test-1169
please set the alarm,test-1170
i want to know how to change my oil,test-1171
how would i replace my oil and what sort of oil should i use,test-1172
what things are on my todo list,test-1173
tell me what my federal taxes amount to,test-1174
i want a cancellation of the dinner reservation for phillips at bernardin's,test-1175
where is my package en route,test-1176
i would like assistance moving money from one account to another,test-1177
would you please schedule a meeting room for 4:00 on thursday,test-1178
list meetings on calendar for today,test-1179
what is the conversion of $30 in canadian dollars,test-1180
i will say yes as my response,test-1181
tell me when i got my car checked last,test-1182
that's wrong,test-1183
i'd like to speak in portuguese,test-1184
how much pto is gone,test-1185
why my card stop working,test-1186
i don't remember the pin number to my card,test-1187
what do i do with a damaged credit card,test-1188
can you look and see how many days off i have taken so far since january,test-1189
the place you were born is,test-1190
set up a report for a lost card,test-1191
what do my federal taxes look like,test-1192
x card has earned how many points,test-1193
please confirm that i have a reservation for march 1st at 7,test-1194
i sat on my credit card and broke it in half and need it replaced,test-1195
i need a reminder to alert me to wish my mom a happy birthday,test-1196
drop some beats,test-1197
i need to know how to spell the word serendipity,test-1198
can my credit limit be increased by 500 dollars,test-1199
can you find what my credit score is,test-1200
send me more checkbooks please,test-1201
what does mature mean,test-1202
how is the weather,test-1203
signing off,test-1204
would you tell me the hobbies the ai has,test-1205
will i make it to my current destination on this fuel tank,test-1206
what do i need to buy for spaghetti,test-1207
put a block on bank of amerian immediately,test-1208
"check my calendar for me, please",test-1209
i want to make something from ethiopia for dinner,test-1210
just stop talking,test-1211
i want to know the meaning of life,test-1212
are you human,test-1213
tell me how long until the next day off,test-1214
i have used how much pto so far,test-1215
cancel my reservation for dinner this saturday,test-1216
do you have any pets and what kind,test-1217
i can't seem to track down my luggage,test-1218
tell me nutritional info for beans,test-1219
share my current location with kristen,test-1220
how should i proceed if i accidentally lost my luggage,test-1221
what does the gas meter read,test-1222
when will my citi card expire,test-1223
pay my utility bill from my bank account,test-1224
include asparagus on the list,test-1225
i really need to jump start my car,test-1226
i want to change to a new allstate insurance plan,test-1227
"ai, what is your name",test-1228
"can you suggest a french restaurant, please",test-1229
i need a flight from boston to miami for under 300 dollars,test-1230
do i need to get any shots before i travel to south africa,test-1231
how many weeks of vacation time have i earned,test-1232
call my doctor,test-1233
what is the lowest amount i can pay for my car bill,test-1234
i lost my card and need to report it,test-1235
is laundry on my todo list,test-1236
give me a tuna salad recipe,test-1237
my card became damaged when i dropped it in the parking lot and it got ran over,test-1238
i can't remember if i added the fun run to my calendar yet; did i,test-1239
would you explain the meaning of life,test-1240
how much have i spent on my debit card this month,test-1241
can i ask your age,test-1242
how is the temperature at ac,test-1243
that's a negatory,test-1244
i need to know when i get paid next,test-1245
i must pay verizon what minimum amount on my bill,test-1246
who controls you,test-1247
does osteria francescana take reservations,test-1248
how does one set up direct deposit to my bank account,test-1249
how do i apply for american express,test-1250
how much gas do i have in my tank,test-1251
how would one say cruiser in china,test-1252
what did i spend on beer last month,test-1253
thanks for helping,test-1254
how many carry ons can i take on a flight with southwestern to tampa,test-1255
which vaccines will i need for cuba,test-1256
can you connect to my phone,test-1257
give me the tire pressure for the car,test-1258
remind me to exercise,test-1259
thanks for all your help,test-1260
tell me some trivia about dolphin,test-1261
roughly how long can i leave bananas in the freezer before i have to throw them out,test-1262
i really need to check my rewards for my credit card,test-1263
start the timer now,test-1264
is there traffic on the way,test-1265
please start calling me bob,test-1266
does the ai have hobbies,test-1267
what is the timezone for la,test-1268
"did i add ""cleaning the foyer"" to my todo list yet",test-1269
what amount of money do i earn,test-1270
call me bob from now on,test-1271
i don't want to forget to call mom,test-1272
i have a bs transaction from ebay on my account,test-1273
have i recently had an oil change,test-1274
what is the day off request status if you would tell me,test-1275
what's my health insurance plan,test-1276
now reset your factory settings,test-1277
i want what i'm listening to to be added to my chill playlist,test-1278
"text chrissy, i'm on my way",test-1279
"how is the traffic normally driving into downtown washington, dc, from baltimore at 4:00 pm",test-1280
what's the nutrition info for a cucumber,test-1281
what is happening with the weather in austin,test-1282
how many holidays are there and when is the next one here,test-1283
tell me who made you please,test-1284
how to i change the policy on my insurace,test-1285
what kinds of things are you supposed to remind me of,test-1286
i want a flight from new york to san francisco using delta,test-1287
"yum, pulled pork tacos at the buffet",test-1288
"text dave, i'll be there soon",test-1289
look up when my payday is supposed to be,test-1290
whats the name of the person who made you,test-1291
why is my checking account not working,test-1292
show my my most recent visa card transaction,test-1293
good bye,test-1294
let's hear a joke!,test-1295
"i think i owe about 100 left on my bills, am i forgetting anything",test-1296
do you know if meeting rooms are open to use 1-2,test-1297
am i safe to go to africa,test-1298
what's the wait period until the next day off,test-1299
i need to call my coworker,test-1300
what type of gas do i use in this car,test-1301
what kind of things can you help with,test-1302
oven set it to 350,test-1303
whats the policy to redeem my visa reward points,test-1304
please let my bank know that i will be visiting spain from june 12th to the 24th,test-1305
what are my mastercard points good for,test-1306
freeze my account at the bank immediately,test-1307
check if bj's takes reservations,test-1308
make sure i get a delta flight from pittsburgh to arizona,test-1309
bank options direct deposit,test-1310
i'd like to set up direct deposit,test-1311
i want to know how is my credit card application going,test-1312
can you get me recipes for eggs please,test-1313
can i get an uber for 2 to go to austin,test-1314
please let lisa and chris know my location information,test-1315
can you find any good places in cleveland that serve clams,test-1316
has my package been sent,test-1317
let me know how you are doing,test-1318
change speaking speed to 50 percent faster,test-1319
any hobbies you like to do,test-1320
tell me a dog joke,test-1321
tell me status of my day off request,test-1322
do you have time today for someone to look at my car because the check engine light is on,test-1323
how long do i have to wait to get a day off,test-1324
what day did i last have the oil in my car changed,test-1325
sure,test-1326
what type of questions can i ask you,test-1327
is my vacation approved,test-1328
what is the time is central time zone,test-1329
make my pin 1234 for my checking account,test-1330
which company made you,test-1331
no that isn't right,test-1332
throw a roll of the dice,test-1333
"hey, what's up",test-1334
"hi there, how are you doing",test-1335
can you monitor my package's progress,test-1336
how do i say bathroom in italian,test-1337
i'd like to pay $4735 to my water bill,test-1338
how can i transfer my 401k,test-1339
"i believe that my car battery has died, what do i do next",test-1340
when i go to cuba will there be a transaction fee for using my discover card,test-1341
what's the answer to it all,test-1342
what's your home country,test-1343
can you return to the factory fresh settings,test-1344
how many hours of pto have i used,test-1345
i don't need toilet paper anymore; take it off my shopping list,test-1346
which gas type goes into this car,test-1347
"do you think my shots would be needed, before traveling to columbia",test-1348
"can you tell me how to spell the word schadenfreude, i don't know how it's spelt",test-1349
don't be connected to my phone anymore,test-1350
can you tell me how to report a card lost,test-1351
please confirm that i have a reservation for 2/20 at 6:00 pm,test-1352
i need to know my cars mpg,test-1353
what are the details on my health care plan,test-1354
i would like to book a place to stay in phoenix from the 5th to the 9th of march,test-1355
thanks so much,test-1356
what do i need to do to get new insurance,test-1357
that's not correct,test-1358
can you tell me what obsolescence means,test-1359
read my to-do list items,test-1360
find me a flight from seattle to detroit for less than 200 dollars,test-1361
how can i get a visa card,test-1362
i want to know what health plan i'm currently on,test-1363
i need what i'm listening to right now to be put on my exercise playlist,test-1364
please tell me how traffic from the new jersey turnpike into the lincoln tunnel looks currently,test-1365
do you know why my bank account is frozen,test-1366
where do i go to get that work tax form thing,test-1367
i would like to thank you ai,test-1368
whisper mode must be left,test-1369
can you pair yourself with my phone please,test-1370
i want you to change to the male voice,test-1371
on the speaker do you know what song is on,test-1372
do you take your orders from me,test-1373
i need to bring my car in because the check engine light is staying lit,test-1374
i would like thai food,test-1375
i need an uber to madison square garden,test-1376
do i have calendar events on march 19th,test-1377
text laura i'll be late for dinner,test-1378
i would like to change my insurance policy,test-1379
are you a pet owner what kind,test-1380
when's my next pay day,test-1381
what mpg does this car get in the city,test-1382
show me what the weather is like,test-1383
i was in australia trying to buy chips and my cards got declined,test-1384
unsync from my phone please,test-1385
i need a table for two at the havana at nine,test-1386
what is the square root of 36,test-1387
i want to hear your best joke,test-1388
search for chili recipes,test-1389
how full is the gas tank,test-1390
where am i,test-1391
please tell me what my credit score is,test-1392
how did my bank account get frozen,test-1393
thank you for your assistance,test-1394
can you cancel that,test-1395
i would like to know the mpg of my car,test-1396
do i need a converter for my electronics when i go to that coutntry,test-1397
how many days on holiday do i have,test-1398
is it possible to talk to you in mandarin,test-1399
what is the name of the place you work at,test-1400
"if you were traveling to indonesia, as i am, would you have your shots updated before your visit",test-1401
what are some fun local experiences in canada,test-1402
how much is my maximum to spend on credit cards,test-1403
any fantastic restaurants to get shrimp at in atlanta,test-1404
please make a call to stefan larson,test-1405
i need your help to find a good reviewed hotel in washington,test-1406
can you tell me who made you,test-1407
"in tampa, i'd like to rent a sedan from 4/1 until 4/5",test-1408
tell me the current account balance,test-1409
i can't use my card because i damaged it,test-1410
how many miles are my tires rated for,test-1411
"let's try and confirm my reservation for bubble bar under ""franklin",test-1412
and your name is,test-1413
show cody where i am,test-1414
what can i call you,test-1415
can you tell me my apr on my credit card,test-1416
tell me what's on my calendar for march 22nd,test-1417
what is the day off request status as of now,test-1418
i need to know how many pounds are in 10 kilos,test-1419
is there traffic on i-95 north to new york from philadelphia,test-1420
whats the fuel economy of this car,test-1421
it is no,test-1422
create a new reminder to study for my final exams,test-1423
what is the electricity bill,test-1424
find the square root of 1243435,test-1425
i need to replace a card that my daughter spilled juice on,test-1426
how much is my water and sewer,test-1427
what kinds of hobbies do you have,test-1428
can i redeem my points for flights,test-1429
tell me if my vacation was approved yet,test-1430
please verify my reservation for john at bardenay,test-1431
tell me something funny about horses,test-1432
how do i get that tax form from my employer,test-1433
what company designed this,test-1434
please tell me how curiosity is spelled,test-1435
tell me what the gas mileage is on my car,test-1436
who am i speaking with,test-1437
can you tell me britain's timezone,test-1438
what's your date of birth,test-1439
have i already got eggs down on the shopping list,test-1440
tell me how long milk stays good in the fridge,test-1441
please tell me if i still have a reservation at acero for susie,test-1442
my answer would be maybe,test-1443
you can dusting off my todo list,test-1444
tell me how to spell curiosity,test-1445
would most people say you are a computer or a human,test-1446
thank a bunch,test-1447
how can you help me,test-1448
what food do you need to make lasagna,test-1449
someone else used my account to buy stuff from mcdonald's,test-1450
i want the female voice,test-1451
what interest rate am i getting from citrix,test-1452
i need to call my friend,test-1453
is my apr rate good,test-1454
could you reserve table for 3 at carlos jr under the name adam at 4,test-1455
can i speak spanish to you hombre,test-1456
can i rent a sports car in augusta for 3/4 through 3/8,test-1457
what's the status of my southwest flight,test-1458
what is the meaning of incandescent,test-1459
don't call me bill anymore - call me bob,test-1460
what's the spanish word for dog,test-1461
when is the expiration date for me discover,test-1462
when is the next time i'll receive a paycheck,test-1463
i need to check my rewards for my credit card,test-1464
how might i say hello if i were scottish,test-1465
"can you cancel that request, please",test-1466
my list of reminders contains what,test-1467
change device talking speed,test-1468
how long will it takes to get a new credit card,test-1469
tell me all the things i need to buy to make pasta,test-1470
what interest rate am i getting from sunflower bank,test-1471
is the wait at pizza hut long,test-1472
what's the amount of my income,test-1473
"i need to schedule meeting room for monday at 2:30 pm, please",test-1474
what's the amount of taxes for my income,test-1475
that is the wrong answer,test-1476
what are the steps to change my insurance policy,test-1477
whens my insurance due and how much does it cost,test-1478
how long should i cook my turkey,test-1479
disconnect from my device please,test-1480
how long will it take me to get to walmart,test-1481
set an alarm for me,test-1482
does my shopping list have pop tarts,test-1483
could i perhaps increase by credit limit by 500 dollars,test-1484
send davis a text i'll be there in a few,test-1485
how long to be seated at carrabas,test-1486
i seem to have lost my phone,test-1487
throw a coin in the air,test-1488
how can i go about jump starting my car,test-1489
how do i change the speed of your voice,test-1490
how much is my telephone bill this month,test-1491
please identify the song we're currently listening to,test-1492
i need a delivery tracked,test-1493
how can i get a limit increase on my discover card,test-1494
what are the benefits associated with my insurance,test-1495
so far how much pto have i used,test-1496
may you please say that again,test-1497
"what's a good, popular american meal",test-1498
where am i located on the map,test-1499
let me know who programmed you,test-1500
can you give me a meal suggestion from the south,test-1501
what month is my card expired in,test-1502
i'm looking for a flight from billings to cleveland on may 2 and a return on may 9,test-1503
i need help locating my phone,test-1504
when's the next time i ought to change my oil,test-1505
could you tell me how to set up direct deposit for my check from work at nations bank,test-1506
please inform my bank i'll be vacationing in the bahamas in a couple of days,test-1507
let me know what the point of life is,test-1508
please put a freeze on my banking account,test-1509
how many calories are in a burger,test-1510
i want you paired to my phone,test-1511
go my to checking account and switch my pin to 1234,test-1512
cancel doctors appointment from my calendar,test-1513
what rating do the critics give the french laundry,test-1514
mpg for this car please,test-1515
tell me the next holiday,test-1516
do you think our lives have purpose or meaning,test-1517
roll a dice that has seven sides,test-1518
what are my total bills this month,test-1519
how much is the pay offered for my work,test-1520
what is the limit on my visa,test-1521
can you speak quieter,test-1522
my car battery is dead what do i do,test-1523
"""i'm going on a flight from lax and going to phl, which is only $120 on june 15th",test-1524
how do i find out my tire pressure,test-1525
where is the nearest wal mart,test-1526
what timezone would missouri be in,test-1527
i want to switch to a new insurance plan,test-1528
"could you help me locate my phone, please",test-1529
let me hear my todo list,test-1530
which gas would be best,test-1531
how do i redeem my visa points,test-1532
it is damaging to my credit score if i miss one credit card payment,test-1533
my online bill has some items that i didn't purchase from penneys,test-1534
have i gone over my entertainment budget,test-1535
how much do i have to pay this month,test-1536
can i put in a pto request for september 1st to september 8th,test-1537
alter your accent,test-1538
can you check the amount of calories in a chicken sandwich,test-1539
can you call the help desk line for my credit card company,test-1540
is it six o clock yet,test-1541
"going to work, will there be traffic",test-1542
i need water on my shopping list and beer off of it,test-1543
i would like to jump start my car,test-1544
my answer to your question is yes,test-1545
the temperature at ac is what,test-1546
when is the expiration month for my card,test-1547
how much have i spent on tires this month,test-1548
tell me the expiration date on my credit card,test-1549
please give me the nutritional information for an egg,test-1550
where is the nearest fry's,test-1551
what is the total number of pets that you have,test-1552
thats right,test-1553
can you help me locate my phone,test-1554
will i need a plug converter when i visit costa rica,test-1555
what day did i last take my car in,test-1556
find for me a hotel with great reviews in ho chi minh,test-1557
"in canadian dollars, what is $30",test-1558
i need to know what 25 times 38 is,test-1559
how would i say i must be going now if i were german,test-1560
what do you think i'm called,test-1561
i want to eat at seven in the restaurant for two people,test-1562
find me an uber to the liberty bell,test-1563
what is the carry-on policy for flights on lufthansa,test-1564
"can you call me a different name, please",test-1565
are visas needed to travel to jamaica,test-1566
did i tell you to remind me about laundry,test-1567
please put in a vacation request,test-1568
what transactions did i make on electronics this morning after 6am,test-1569
what is the minimum amount i can pay on my gas bill,test-1570
i would like to know my vacation days balance,test-1571
where would i get my rewards for my master card,test-1572
"hello, how is it going",test-1573
turn on my tunes,test-1574
would you tell me how old you are,test-1575
cancel event scheduled for this afternoon,test-1576
convert 200 us dollars to british pounds,test-1577
"how do you spell ""montpelier",test-1578
i need reviews for places serving tacos in chicago,test-1579
i want to hear something funny about history,test-1580
i would like to change the name on my first hawaiian bank account,test-1581
"alexa, buy a new television",test-1582
where am i on the map,test-1583
might we go to the next song,test-1584
what would you like me to call you,test-1585
"find me a rental car for next week , from friday the 5th thru monday the 8th, any kind",test-1586
maybe it is,test-1587
change the accent you're using,test-1588
is a travel visa needed for thailand,test-1589
how much am i paying for apr on my credit card,test-1590
"next song, please!",test-1591
can you roll an eight sided die and tell me what it comes up as,test-1592
when does the jerky expire,test-1593
that will be all have a nice day!,test-1594
how full or empty is my tank of gas,test-1595
i need a flight for under 300 from pittsburgh to atlanta,test-1596
"thanks for your help, goodbye!",test-1597
"ai is a helpful item to have in my home, thank you",test-1598
can you please repeat that,test-1599
what if i want to switch insurance plans,test-1600
have an uber sent to take me to the courthouse,test-1601
i can't use my card because it’s broken,test-1602
are there meetings from 1 to 5 pm,test-1603
can you play music by led zepplin,test-1604
please alert my bank i'm going to be in the caymans from may 1st to june 2nd,test-1605
find me a room near the jacksonville stadium between january 1st through january 3rd,test-1606
i would like to know the next holiday,test-1607
i want to use my card reward points,test-1608
check to see why us bank placed a hold on my account,test-1609
on tuesday you are supposed to have a meeting,test-1610
how many vacation days do i still have available,test-1611
how can i find out what my tire pressure is,test-1612
when will my next vacation day be,test-1613
can you indicate my location to my friend,test-1614
do you know why my card got declined,test-1615
talk to me about the total of my state taxes,test-1616
how do i report that i lost the card,test-1617
what is my current location,test-1618
i do not know,test-1619
please confirm my reservation for bar les freres at 7,test-1620
please call an uber for 6 people to go to amazon's southside warehouse,test-1621
will it be ok to sub turkey for beef,test-1622
don't be synced to my phone anymore,test-1623
how do i use my card reward points for my next flight,test-1624
when it my citi card expired,test-1625
could you cancel my reservation for winters at the palace tonight,test-1626
do i need a visa for south korea,test-1627
tell me the expiration date for my visa card,test-1628
when is next month's cable bill due,test-1629
now tell me my credit card's apr,test-1630
how do they say tacos in mexico,test-1631
i need to call my mom,test-1632
please tell me your age,test-1633
tell me the full name of my health plan,test-1634
i need to report that someone ran off with my td bank card earlier,test-1635
how do i order some more checks for my chase account,test-1636
please repeat the last thing,test-1637
how do i cash in my amex reward points,test-1638
good speaking to you,test-1639
can we please,test-1640
"if soda isn't on my shopping list, go ahead and add it for me",test-1641
do i have enough gas in my tank to make it to washington dc,test-1642
will someone please look at my check engine light that is on,test-1643
what items are on my list of to-dos,test-1644
tell me how to rollover my 401k,test-1645
what kind of electrical outlet does that country use,test-1646
what steps should i take if my luggage has been lost,test-1647
how healthy is tacos,test-1648
"can you spell out ""wonderful",test-1649
call an uber to take a group of 4 from this bar to the one on maple st,test-1650
how soon until i will need to get my oil changed,test-1651
give me something interesting about stars,test-1652
tell my bank i'm in canada the entire week of the 6th to the 13th,test-1653
in my motivational playlist include the song rap god,test-1654
"i need a w2, so where is it",test-1655
how's the weather in seattle,test-1656
i wish to cancel my reservation for fred at red robin,test-1657
where can i find routing number for pnc,test-1658
you are going to be called joe now,test-1659
how is my vacation looking,test-1660
give me a joke about water,test-1661
can you add this song to my country music playlist,test-1662
will i get my time off approved,test-1663
what do i have to do to transfer my 401k,test-1664
what steps can i take to build my credit score,test-1665
tell me what my credit score is,test-1666
that isn't right,test-1667
are visas for international travel,test-1668
what do i have planned for 3/5,test-1669
someone used my chase card without my authorization,test-1670
what is texas's timezone,test-1671
what do i take home,test-1672
i want an alarm for 6 am,test-1673
when was my oil last changed,test-1674
does france use a socket converter,test-1675
clear my calendar for may 3rd,test-1676
transfer $100 from my checking to saving account,test-1677
i need to know when my electricity bill is due,test-1678
what length of time is safe for consuming leftover meatloaf stored in the fridge,test-1679
please go though the bullet points on my reminder list,test-1680
do i require a plug converter when i visit puerto rico,test-1681
should i take my car to a maintenance,test-1682
"hi, how are you today",test-1683
what's the timezone in valencia,test-1684
my capital one visa was taken without permission,test-1685
tell me what this song is called that's playing,test-1686
what's my routing number,test-1687
"5 people are going to be at tropicana by 8pm, reserve the table under martins name please",test-1688
can you tell me the correct spelling of liaison,test-1689
i need to report fraudulent activity on my usaa card,test-1690
i wanna know who programmed you,test-1691
yup,test-1692
please track my order,test-1693
i want to see my location on the map,test-1694
are carrots added to the grocery list,test-1695
help me figure out how to change my oil,test-1696
when will my new credit card arrive,test-1697
where is your home town,test-1698
please roll twelve sided dice,test-1699
when am i due for my next oil change,test-1700
i need you to make my bank aware that i will be visiting taiwan from the 22nd of february until the 3rd of march,test-1701
is it true your a real person,test-1702
what are the travel conditions for haiti,test-1703
how do my health benefits work,test-1704
is it possible i have a meeting with kim today,test-1705
locate my cellphone in this room,test-1706
what is the city mpg on this car,test-1707
do you think they'll let me reserve a table at the olive garden,test-1708
i really would like to get a new insurance plan,test-1709
do you know what company were you designed by,test-1710
las vegas weather today,test-1711
i'm out of all my checks can i get some new ones,test-1712
what ingredients does agor agor need,test-1713
set a 2 minute timer,test-1714
what are some fun cheap activities to do in colorado,test-1715
move forward one song,test-1716
i would you like to learn something interesting about bees,test-1717
what sorts of tasks can you do,test-1718
how many ounces are in 4 pounds,test-1719
did i stick to my dinner budget,test-1720
